Product Name,Image Link,Price,Rating,Description,Review Title,Review
"FurniGully 4 Shelve Shoe Rack PP Collapsible Wardrobe  (Finish Color - Blue Color, DIY(Do-It-Yourself))",https://rukminim2.flixcart.com/image/416/416/kvwpt3k0/collapsible-wardrobe/5/1/p/8-pp-35-1-9-shelve-4-shoe-rack-1233-attache-4-blue-color-original-imag8pg43xs6wu4y.jpeg?q=70&crop=false,384.0,3.5,"Smart , compact neat and intelligently designed shoe rack to extend maximum utalization of the space occupied. Made up of carbon steel offering maximum durability with non woven fabric outer coveringcomes up with 4 and 7 layers with maximum capacity of 12-21 shoes can be fixed perfectly.Easy to fold and store . Light weight and portable. comes up in attractive colours to match your home shades",Simply awesome,Ok thanks for product is very very happy
"Godrej Interio Slimline Blend Metal 3 Door Almirah  (Finish Color - Textured Purple, Mirror Included, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/wardrobe-closet/c/p/7/-original-imagyzw3trhhhzz4.jpeg?q=70&crop=false,45560.0,3.9,"Check out this Godrej wardrobe which is made from prime steel, that also ensures its durability. It has a stylish design and comes in a dual-tone colour combination with sleek lines. It also features a knock-down construction that allows you to assemble and dismantle it at your convenience.  ",Worth every penny,"It finishing is good,Locks are smooth.Serves the purpose well."
"Trevi Mustang With Drawer With Mirror Engineered Wood 4 Door Wardrobe  (Finish Color - Wenge, Mirror Included, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/wardrobe-closet/p/a/b/-original-imagztahffuccwad.jpeg?q=70&crop=false,18690.0,3.8,The Wardrobe has been made in our State of the art manufacturing facility in INDIA. The product raw materials have been chosen with care and is perfectly suitable for Indian conditions. The Engineered wood thickness has been considered as 15mm for all the panels and 9mm for the back panel to ensure a stable product. The product is designed to ensure maximum space utilization and optimum storage facility is provided.,Best in the market!,Wooow we like it very much  thank you flipkart
"Smiley Bell Plastic 1 Door Almirah  (Finish Color - Blue, DIY(Do-It-Yourself))",https://rukminim2.flixcart.com/image/416/416/xif0q/wardrobe-closet/z/m/w/no-29-46-pvc-1-wardrobe-plastic-family-blue-6-floor-blue-smiley-original-imagkzj96bsdhn85.jpeg?q=70&crop=false,1429.0,3.7,"A New almirah For Baby Having 6 Shelves And Hut Shape. Very Attractive Designs And Cartoon On Cover. Very Easy To Assemble. Easy To Move. You Can Put Lots of Stuff In That. Design of Cover Can Be Different Based On Availability. Ideal Solutions For Storing Kids Clothes, Shoes, Toys And More.",Highly recommended,Absolutely amazing
"Trevi Mustang (Fabric Finish 4 door Almirah/Almari) Engineered Wood 4 Door Wardrobe  (Finish Color - Dark Maple & Hazel Cambric, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/wardrobe-closet/b/e/b/no-particle-board-mustang-4-door-white-trevi-dark-maple-hazel-original-imagxtzj2jqpvb6p.jpeg?q=70&crop=false,16990.0,3.8,The Wardrobe has been made in our State of the art manufacturing facility in INDIA. The product raw materials have been chosen with care and is perfectly suitable for Indian conditions. The Engineered wood thickness has been considered as 15mm for all the panels and 9mm for the back panel to ensure a stable product. The product is designed to ensure maximum space utilization and optimum storage facility is provided.,Best in the market!,Wooow we like it very much  thank you flipkart
"Godrej Interio Slimline 2 Door 4 Shelf Metal Almirah  (Finish Color - Body & Door: Royal Ivory, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/cupboard-almirah/z/g/d/-original-imagyzw3sfpfqg4g.jpeg?q=70&crop=false,19860.0,4.3,"Check out this Godrej wardrobe which is made from prime steel, that also ensures its durability. It has a stylish design and comes in a dual-tone colour combination with sleek lines. It also features a knock-down construction that allows you to assemble and dismantle it at your convenience.  ",Great product,Perfect Almira. Delivery was horrible..took 90+ days to deliver.Installation was super fast though. Delivery was through the seller
"Godrej Interio Slimline 2 Door With Locker Metal Almirah  (Finish Color - Body: Royal Ivory, Door: Textured Purple, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/cupboard-almirah/s/c/e/-original-imagyzw2qyardzfx.jpeg?q=70&crop=false,24750.0,4.2,"Check out this Godrej wardrobe which is made from prime steel, that also ensures its durability. It has a stylish design and comes in a dual-tone colour combination with sleek lines. It also features a knock-down construction that allows you to assemble and dismantle it at your convenience.  ",Perfect product!,"awesome delivery, awesome installation and awesome product :)"
"Wakefit Organza Plus Engineered Wood 4 Door Wardrobe  (Finish Color - Dark Brown, Mirror Included, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/wardrobe-closet/j/h/k/-original-imagpprgruaghstv.jpeg?q=70&crop=false,19593.0,4.3,"Solve the mystery of missing clothes and accessories with this super-functional wardrobe! So much extra space, now you can store all your blazers, sarees and accessories too. Wooden wardrobes of this rich color scheme can be tweaked into any odd corner of the room. With the luxury of drawers, now you can store all your expensive items safely. The shelf space provided is designed for your larger than life personality. As exciting it sounds, your clothes are safe and sound.",Terrible product,"Damaged item delivered, informed while delivery, delivery guy told to contact Flipkart. The worst experience of my life. Asked for replacement but they only keep telling you today and tomorrow. Now the time period is gone and they are not willing to replace. Flipkart did not take any action. Worst experience of online purchase. Wakefit is the worst company. Amazons customer service is way better. Don't buy Wakefit and dont buy from Flipkart."
"Godrej Interio Slimline With Locker 2 Door Metal Almirah  (Finish Color - Body: Royal Ivory, Door: Textured Sea Pine, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/cupboard-almirah/5/2/v/-original-imagyzw2qyhtsnzu.jpeg?q=70&crop=false,21950.0,4.2,"Check out this Godrej wardrobe which is made from prime steel, that also ensures its durability. It has a stylish design and comes in a dual-tone colour combination with sleek lines. It also features a knock-down construction that allows you to assemble and dismantle it at your convenience.  ",Fabulous!,"Amazing Product , loved it.."
"@Home by nilkamal Joyce Engineered Wood 3 Door Wardrobe  (Finish Color - Classic Walnut, Knock Down)",https://rukminim2.flixcart.com/image/416/416/xif0q/wardrobe-closet/w/q/g/-original-imagqctd65gvbaag.jpeg?q=70&crop=false,13999.0,3.9,"This spacious wardrobe from Nilkamal is sufficient to suit the needs of a small family. This multi-shelved wardrobe comes with an external lock to provide security to your belongings. You can neatly arrange your clothes and other belongings in this wardrobe without worrying about the weight, thanks to the melamine-finished sturdy engineered wood. The aesthetic design of this wardrobe makes it suitable for any home. It also comes with a hanging rod to hang your clothes neatly. ",Super!,It was a good purchase. Value for money.
